,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
458,2022-04-30,2,8000,650,2 out of 3,Super Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3172,2022-05-01,2,10000,898,7 out of 14,Super Area,Kalavakkam,Chennai,Semi-Furnished,Family,2,Contact Owner
2430,2022-05-09,2,18000,600,1 out of 4,Carpet Area,"Arjun Nagar, Safdarjung Enclave",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
3340,2022-07-08,3,30000,1500,Ground out of 1,Carpet Area,"Korattur, Jawaharlal Nehru Road",Chennai,Semi-Furnished,Family,2,Contact Owner
4455,2022-05-12,2,15000,600,1 out of 2,Super Area,"Khaja Guda, Outer Ring Road",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
3418,2022-07-02,2,20000,1500,Ground out of 1,Super Area,Iyyappanthangal,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3689,2022-06-20,2,8000,809,1 out of 2,Super Area,"Chromepet, GST Road",Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
1883,2022-07-07,2,21000,1005,2 out of 5,Carpet Area,Indira Nagar,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
1713,2022-07-06,3,35000,1800,1 out of 1,Super Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
3610,2022-05-06,3,18000,1235,1 out of 2,Super Area,Perambur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3105,2022-06-22,3,15000,2200,1 out of 2,Super Area,Irumbuliyur,Chennai,Unfurnished,Bachelors,3,Contact Owner
552,2022-06-20,1,25000,375,1 out of 22,Super Area,Lal Baug,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1439,2022-07-09,3,150000,1100,9 out of 16,Carpet Area,"Badrinath Tower, Amit Nagar",Mumbai,Furnished,Family,3,Contact Agent
2270,2022-07-04,1,15000,600,5 out of 5,Carpet Area,"A Narayanapura, Mahadevapura",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
2821,2022-06-30,1,8000,410,2 out of 4,Carpet Area,Dwarka Sector 23B,Delhi,Unfurnished,Bachelors,1,Contact Owner
4540,2022-06-23,2,20000,1200,Ground out of 1,Super Area,Shaikpet,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
1925,2022-06-04,2,13000,1000,2 out of 3,Super Area,Anantapura,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
634,2022-05-18,4,210000,1783,5 out of 20,Carpet Area,GREEN PARK,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner
4562,2022-06-14,1,6500,500,2 out of 3,Carpet Area,"Tellapur, Outer Ring Road",Hyderabad,Unfurnished,Bachelors,1,Contact Owner
316,2022-05-31,3,8000,812,Ground out of 3,Super Area,Hooghly,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
3937,2022-06-26,3,27000,2210,4 out of 5,Super Area,"Nallagandla, Serilingampally",Hyderabad,Semi-Furnished,Family,3,Contact Owner
4465,2022-05-12,3,22000,1840,3 out of 6,Super Area,"Miyapur, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
1328,2022-07-04,1,26000,390,Upper Basement out of 7,Carpet Area,"Greenfields CHS, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
427,2022-06-15,1,6000,300,1 out of 2,Carpet Area,"Picnic Garden, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
3084,2022-05-12,1,6000,350,Ground out of 2,Super Area,"Tambaram, GST Road",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
105,2022-06-06,1,6000,600,8 out of 5,Carpet Area,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
142,2022-05-06,2,8000,700,Ground out of 1,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2169,2022-04-29,2,15000,900,1 out of 3,Carpet Area,"Venkatpura, HSR Layout",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
3845,2022-05-16,3,20000,1265,1 out of 3,Super Area,Adambakkam,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
89,2022-05-31,2,8500,550,2 out of 3,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
2918,2022-07-05,3,42000,1700,2 out of 4,Carpet Area,Pitampura,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2241,2022-05-31,3,35000,1500,1 out of 4,Carpet Area,Vasanth Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
3116,2022-06-10,2,15000,750,1 out of 2,Carpet Area,YES YES SARAS,Chennai,Unfurnished,Bachelors,2,Contact Owner
2163,2022-06-20,2,12000,750,Ground out of 3,Super Area,BBMP convertion layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2636,2022-05-06,1,7000,450,1 out of 4,Super Area,"Mohan Garden, Razapur Khurd",Delhi,Furnished,Bachelors/Family,1,Contact Owner
1949,2022-05-23,2,30000,1100,2 out of 5,Super Area,Maruthi Sevanagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
1768,2022-06-04,1,4500,600,Ground out of 3,Super Area,"Peenya Industrial Area, Tumkur Road",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
3000,2022-07-06,3,25000,1350,Ground out of 2,Super Area,Alandur,Chennai,Furnished,Family,3,Contact Owner
2272,2022-06-23,2,14000,500,Ground out of 3,Super Area,Shivaji Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,2022-05-13,2,20000,800,1 out of 3,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
4594,2022-06-15,3,20000,1450,1 out of 5,Super Area,"Rethibowli, Mehdipatnam",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
4704,2022-06-17,1,10500,150,3 out of 6,Carpet Area,"Venkataramana Colony, Secunderabad",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
1951,2022-05-23,2,15000,600,2 out of 3,Super Area,Ejipura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
3738,2022-05-12,1,12000,400,1 out of 3,Super Area,Besant Nagar,Chennai,Furnished,Bachelors/Family,1,Contact Owner
4322,2022-05-18,3,17000,100,1 out of 1,Carpet Area,Masab Tank,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
2720,2022-06-26,2,6000,450,1 out of 3,Super Area,north chajjupur shahdara,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
3544,2022-06-19,2,12000,880,1 out of 3,Carpet Area,Thiruneermalai,Chennai,Unfurnished,Family,2,Contact Owner
1109,2022-06-12,1,27000,400,6 out of 10,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,2,Contact Agent
4156,2022-05-06,3,20000,1400,3 out of 5,Super Area,Nawab Saheb Kunta,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
591,2022-05-27,3,150000,1400,16 out of 21,Carpet Area,darshan ricco Tower,Mumbai,Furnished,Bachelors,3,Contact Agent
1695,2022-04-28,2,20000,1150,2 out of 4,Carpet Area,"Jp Nagar Phase 5, J P Nagar, Outer Ring Road",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
2936,2022-06-06,1,6000,50,3 out of 4,Carpet Area,Mahavir Enclave Part 3,Delhi,Semi-Furnished,Bachelors,1,Contact Owner
3919,2022-05-25,1,5500,300,Ground out of 3,Super Area,Ameenpur,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
3425,2022-06-25,2,10000,800,1 out of 2,Carpet Area,Tambaram East,Chennai,Unfurnished,Family,2,Contact Owner
1576,2022-05-27,4,180000,2800,Ground out of 4,Carpet Area,"Sarakki Nagar, J P Nagar",Bangalore,Furnished,Family,4,Contact Agent
3607,2022-07-10,1,15000,550,9 out of 15,Carpet Area,Iyyappanthangal,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Agent
213,2022-04-24,3,12000,1000,Ground out of 1,Super Area,Khardah,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
778,2022-06-12,4,230000,3700,5 out of 20,Carpet Area,"Lake Superior, Powai",Mumbai,Furnished,Bachelors/Family,4,Contact Agent
4511,2022-05-12,2,7000,800,Ground out of 1,Super Area,Rampally,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3537,2022-04-30,3,35000,1850,2 out of 3,Carpet Area,Thoraipakkam,Chennai,Semi-Furnished,Bachelors,3,Contact Owner
2043,2022-07-07,1,25000,420,17 out of 18,Carpet Area,Haralur Road,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
2848,2022-06-06,4,110000,3000,2 out of 4,Carpet Area,Safdarjung Enclave,Delhi,Semi-Furnished,Bachelors,5,Contact Agent
4310,2022-06-18,2,10000,1197,Ground out of 2,Super Area,Dammaiguda,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3203,2022-06-29,2,16000,1700,1 out of 2,Super Area,Pallikaranai,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
3749,2022-05-19,3,36000,1610,3 out of 14,Super Area,Vadapalani,Chennai,Semi-Furnished,Family,3,Contact Agent
1567,2022-06-30,1,11000,400,1 out of 4,Super Area,Chamrajpet,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
165,2022-06-23,3,16500,1100,Ground out of 3,Super Area,Mominpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
4480,2022-07-02,2,15000,800,1 out of 2,Super Area,Vijaya Puri Colony,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
3276,2022-06-25,2,8000,550,1 out of 1,Super Area,Pallikaranai,Chennai,Unfurnished,Bachelors/Family,1,Contact Agent
4675,2022-06-09,3,15000,1422,4 out of 7,Super Area,Adibatla,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
1343,2022-07-09,2,46700,800,2 out of 7,Carpet Area,"Milap CHS, Seven Bungalows",Mumbai,Unfurnished,Family,2,Contact Agent
2013,2022-06-16,2,30000,1100,2 out of 5,Carpet Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors,2,Contact Agent
273,2022-04-27,1,6000,130,Ground out of 2,Carpet Area,Bow Bazar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
71,2022-06-26,2,16000,850,1 out of 4,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
4073,2022-05-06,3,14000,1540,2 out of 5,Super Area,Attapur,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
1087,2022-07-09,3,160000,1197,18 out of 26,Carpet Area,"Aristo Pearl Residency, Prabhadevi",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
394,2022-06-12,2,7000,450,Ground out of 4,Carpet Area,"Gandhi Colony, Netaji Nagar",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
583,2022-07-06,3,89000,932,14 out of 20,Carpet Area,Powai,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1367,2022-05-13,1,23000,420,5 out of 7,Carpet Area,"Spring Leaf, Lokhandwala Twp",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
4733,2022-06-28,1,5000,500,Ground out of 1,Carpet Area,BN Reddy Nagar,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner
3728,2022-06-03,2,12000,950,1 out of 2,Super Area,"Radha Nagar, Chrompet",Chennai,Semi-Furnished,Family,2,Contact Owner
2548,2022-05-03,1,6000,63,4 out of 4,Super Area,Rohini Sector 2,Delhi,Furnished,Bachelors/Family,1,Contact Owner
3760,2022-05-17,2,15000,550,Ground out of 3,Super Area,Mylapore,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
4649,2022-06-18,2,15000,1300,2 out of 4,Carpet Area,5-20 Adharshnagar,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
3003,2022-05-12,2,6000,600,1 out of 3,Super Area,Poonamallee,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
4546,2022-07-10,3,67000,2310,3 out of 17,Super Area,Madhapur,Hyderabad,Semi-Furnished,Family,3,Contact Agent
3647,2022-05-25,2,12500,500,2 out of 3,Super Area,Kolathur,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
3227,2022-06-29,2,18000,1300,3 out of 3,Super Area,Velachery,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
1763,2022-06-04,2,18000,1200,Ground out of 3,Super Area,Vijayanagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
1875,2022-06-27,2,11000,800,Ground out of 4,Super Area,Battarahalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
1259,2022-07-07,1,28500,565,1 out of 8,Super Area,Kandivali East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
4305,2022-06-08,1,8000,540,4 out of 4,Carpet Area,"Sanath Nagar, NH 9",Hyderabad,Unfurnished,Family,1,Contact Owner
2253,2022-05-05,3,21000,1300,3 out of 3,Super Area,Hormavu Ring Road,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
2781,2022-07-09,2,21000,600,3 out of 4,Carpet Area,"Arjun Nagar, Safdarjung Enclave",Delhi,Semi-Furnished,Bachelors,2,Contact Agent
526,2022-05-26,1,45000,450,7 out of 10,Carpet Area,"Rose Queen, Old Khar",Mumbai,Furnished,Bachelors/Family,1,Contact Agent
4425,2022-07-10,4,120000,3455,12 out of 17,Super Area,Madhapur,Hyderabad,Semi-Furnished,Family,4,Contact Agent
4462,2022-07-06,2,45000,1350,20 out of 35,Carpet Area,Gachibowli,Hyderabad,Furnished,Bachelors,2,Contact Agent
377,2022-07-03,2,7000,850,Ground out of 3,Super Area,Baranagar,Kolkata,Unfurnished,Bachelors,1,Contact Owner
1559,2022-05-26,1,6000,400,4 out of 5,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
3483,2022-05-30,2,12000,650,2 out of 2,Carpet Area,Old Washermanpet,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
1963,2022-07-04,1,10000,300,2 out of 3,Super Area,CV Raman Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
4508,2022-06-25,3,35000,1700,2 out of 3,Carpet Area,Jubilee Hills,Hyderabad,Semi-Furnished,Bachelors,3,Contact Owner
348,2022-06-29,2,8500,650,Ground out of 1,Super Area,Howrah,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2434,2022-07-07,4,55000,2000,2 out of 4,Carpet Area,Dwarka sec 19,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2246,2022-07-07,2,14000,1200,2 out of 3,Carpet Area,Srinivaspura,Bangalore,Semi-Furnished,Family,2,Contact Owner
3852,2022-05-20,1,12000,700,1 out of 2,Super Area,Thiruvanmiyur,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1709,2022-05-23,2,18000,1450,Ground out of 2,Carpet Area,"Jp Nagar Phase 6, J P Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
1050,2022-07-09,2,94000,800,14 out of 18,Carpet Area,"Kanakia Hollywood, Sai Nagar",Mumbai,Semi-Furnished,Family,2,Contact Agent
590,2022-06-06,1,40000,600,3 out of 7,Carpet Area,Lokhandwala Complex,Mumbai,Furnished,Family,2,Contact Agent
519,2022-06-19,1,5000,250,Ground out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
4270,2022-05-27,2,6500,700,2 out of 3,Super Area,Meerpet,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3780,2022-07-08,2,13000,950,1 out of 2,Carpet Area,Duraisamy Nagar,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2477,2022-05-12,2,9000,450,2 out of 4,Carpet Area,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
1083,2022-07-06,2,40000,753,11 out of 31,Carpet Area,"Omkar Ananta, Film City Road",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
3279,2022-05-25,2,16000,960,2 out of 4,Super Area,Porur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
4537,2022-06-25,2,7500,853,4 out of 5,Super Area,Kapra,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
4286,2022-07-08,3,22000,1500,4 out of 6,Super Area,"Indra Nagar, Moti Nagar",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
1294,2022-07-06,2,85000,1200,36 out of 45,Carpet Area,"Crescent Bay T3, Bhoiwada",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1809,2022-06-06,1,15000,600,3 out of 3,Super Area,J P Nagar,Bangalore,Furnished,Bachelors/Family,1,Contact Owner
791,2022-07-06,2,55000,700,10 out of 11,Carpet Area,"Shiv Bhagtani Manor 3A, Powai",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
792,2022-06-13,5,600000,3200,10 out of 16,Carpet Area,Bandra East,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
3764,2022-06-02,1,6500,600,Ground out of 2,Super Area,"Chromepet, GST Road",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
3912,2022-05-06,3,60000,1700,7 out of 17,Super Area,Gachibowli,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
1980,2022-06-20,2,9000,600,1 out of 4,Super Area,Begur,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
3564,2022-06-29,1,5000,550,1 out of 1,Carpet Area,5000,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
4743,2022-07-10,3,35000,1750,3 out of 5,Carpet Area,"Himayath Nagar, NH 7",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
1530,2022-06-20,2,12500,900,Ground out of 3,Super Area,Ramamurthy Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
1410,2022-07-06,2,45000,650,10 out of 18,Carpet Area,Chandivali,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
4077,2022-07-08,2,8000,550,4 out of 4,Carpet Area,Ram nagar,Hyderabad,Unfurnished,Bachelors,1,Contact Owner
4416,2022-06-02,3,52000,1742,23 out of 35,Super Area,Gachibowli,Hyderabad,Semi-Furnished,Family,3,Contact Agent
83,2022-06-21,6,20000,1000,1 out of 1,Super Area,Sonarpur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
868,2022-06-12,3,100000,1250,6 out of 18,Carpet Area,"Panch Ritu, Chandivali",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2350,2022-05-12,2,30000,1100,2 out of 5,Carpet Area,Hsr Layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
20,2022-07-02,2,7900,650,1 out of 2,Carpet Area,Santoshpur,Kolkata,Unfurnished,Family,1,Contact Owner
3127,2022-07-10,2,17500,1200,2 out of 2,Carpet Area,Anna Nagar West,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
4050,2022-05-12,1,8000,450,Ground out of 3,Super Area,"Somajiguda, NH 9",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
4345,2022-07-10,2,15000,1300,3 out of 5,Carpet Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Agent
1562,2022-06-16,1,8000,300,Ground out of 2,Carpet Area,"Udayanagar Extension, Mahadevapura",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
973,2022-07-09,3,130000,1800,10 out of 16,Super Area,Lokhandwala Complex,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
1710,2022-06-16,1,12000,600,3 out of 3,Super Area,Basava Nagar,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
3631,2022-05-15,3,14000,1800,Ground out of 2,Carpet Area,"TTK Nagar, Tambaram",Chennai,Semi-Furnished,Family,3,Contact Owner
4576,2022-06-30,2,23000,1250,2 out of 4,Carpet Area,"Somajiguda, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Agent
1098,2022-04-29,1,25000,400,Upper Basement out of 7,Carpet Area,shanti kutir tunga village powai,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
4053,2022-06-27,2,14000,1300,3 out of 3,Super Area,IAS Colony,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2844,2022-05-05,3,18000,110,1 out of 5,Super Area,Tri Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
886,2022-05-27,1,35000,500,1 out of 8,Super Area,Ghatkopar West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3357,2022-07-10,3,53000,1700,4 out of 16,Carpet Area,Iyyappanthangal,Chennai,Furnished,Bachelors/Family,3,Contact Agent
4353,2022-05-12,2,7500,800,2 out of 4,Super Area,"Pragathi Nagar, Kukatpally",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
4182,2022-05-12,3,20000,1000,2 out of 6,Super Area,Toli Chowki,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
515,2022-07-06,3,22000,1150,1 out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent
737,2022-06-14,2,46000,680,4 out of 7,Carpet Area,"Trans Residency, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1453,2022-06-02,1,45000,500,2 out of 3,Carpet Area,"Irla, Vile Parle West",Mumbai,Unfurnished,Bachelors,1,Contact Agent
3934,2022-05-06,2,15000,1200,2 out of 3,Super Area,"Rasoolpura, Mahatma Gandhi Road",Hyderabad,Unfurnished,Bachelors,2,Contact Owner
4466,2022-05-12,2,12000,1100,5 out of 6,Super Area,Serilingampally,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2506,2022-05-05,3,10000,75,4 out of 5,Super Area,Sagar Pur,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2994,2022-06-14,3,29000,1200,1 out of 3,Carpet Area,Ashok Nagar,Chennai,Semi-Furnished,Bachelors,3,Contact Agent
2126,2022-05-16,2,9500,200,Ground out of 2,Carpet Area,Kengeri Upanagara,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2926,2022-05-18,3,14500,1250,1 out of 4,Carpet Area,Chhattarpur,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent
906,2022-07-09,3,100000,1400,22 out of 30,Carpet Area,"Hiranandani Verona Co op Housing Society Ltd, Powai",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
3331,2022-05-20,1,10000,550,Ground out of 2,Carpet Area,Arumbakkam,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
1030,2022-05-19,3,180000,1500,7 out of 12,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
2507,2022-05-05,3,11000,800,1 out of 4,Super Area,Hastsal,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2428,2022-05-10,2,8500,60,2 out of 2,Super Area,Najafgarh,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
947,2022-04-29,1,28000,525,2 out of 8,Super Area,"Balkrishna, Goregaon East",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
3470,2022-06-11,3,25000,1132,10 out of 16,Super Area,"Korattur, Jawaharlal Nehru Road",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Agent
3711,2022-06-15,1,6000,434,Ground out of 3,Super Area,Thirumazhisai,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
715,2022-05-10,2,32000,830,13 out of 14,Super Area,Bhandup West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3699,2022-06-10,2,8500,800,Ground out of 1,Super Area,Ambattur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
686,2022-05-14,1,27000,550,4 out of 7,Carpet Area,Borivali West,Mumbai,Furnished,Family,2,Contact Owner
703,2022-07-07,2,21000,630,8 out of 12,Carpet Area,Beverly Park,Mumbai,Semi-Furnished,Family,2,Contact Agent
2353,2022-07-07,1,4500,300,3 out of 3,Super Area,"Virat Nagar, Bommanahalli",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2257,2022-05-23,2,15000,700,1 out of 5,Super Area,Yeshwantpur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
473,2022-06-17,2,10000,800,Ground out of 3,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
21,2022-06-14,2,9000,400,2 out of 3,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors,2,Contact Owner
2752,2022-06-15,2,13500,700,1 out of 2,Super Area,Shakarpur,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
885,2022-05-19,2,45000,630,8 out of 13,Carpet Area,"Crescent Solitaire, Sakinaka Junction",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
2448,2022-06-22,2,30000,700,3 out of 3,Carpet Area,Vasant Kunj Sector B,Delhi,Semi-Furnished,Bachelors,2,Contact Owner
917,2022-06-30,1,10000,390,3 out of 4,Carpet Area,Mira Road East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
3428,2022-05-29,2,10500,950,1 out of 2,Super Area,Madambakkam,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3422,2022-07-10,3,30000,1484,9 out of 12,Carpet Area,Porur,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2239,2022-07-04,2,12000,700,1 out of 4,Super Area,Bagalur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
3504,2022-07-10,4,70000,2880,9 out of 19,Super Area,Thoraipakkam,Chennai,Semi-Furnished,Bachelors,3,Contact Agent
1265,2022-06-04,2,41000,600,4 out of 8,Carpet Area,"Vasant Oscar, Mulund West",Mumbai,Furnished,Family,2,Contact Agent
483,2022-06-10,3,10000,1500,11 out of 19,Super Area,Santoshpur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
4125,2022-06-02,2,14000,1110,2 out of 5,Carpet Area,Dhulapally,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2963,2022-06-29,2,16500,950,2 out of 4,Carpet Area,"Indraprastha Extension, Patparganj",Delhi,Unfurnished,Bachelors,1,Contact Agent
1219,2022-06-23,3,43000,850,8 out of 14,Carpet Area,"Aspire, Kandivali East",Mumbai,Unfurnished,Family,3,Contact Agent
277,2022-06-15,1,5000,700,Ground out of 2,Carpet Area,My Own House,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
988,2022-07-09,4,150000,1937,20 out of 30,Carpet Area,"Raj Grandeur, Powai",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
2084,2022-07-09,2,24000,630,2 out of 5,Carpet Area,Halasuru,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
1245,2022-07-06,1,35000,480,1 out of 7,Carpet Area,Seven Bungalows,Mumbai,Semi-Furnished,Family,2,Contact Agent
2382,2022-06-24,2,14000,800,1 out of 3,Super Area,"Keshav Puram, Tri Nagar",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
571,2022-05-27,2,45000,750,12 out of 18,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1435,2022-06-14,3,85000,890,4 out of 27,Carpet Area,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
